MoleculeID,ReadyBiodeg_pred,AD_ReadyBiodeg,AD_index_ReadyBiodeg,Conf_index_ReadyBiodeg
112-05-0,1,1,0.882189769859362,0.941094884929681
66-25-1,1,1,0.623725817692038,0.618149965484622
124-07-2,1,1,0.861135722970922,0.930567861485461
57-10-3,1,1,0.88081242677586,0.94040621338793
112-31-2,1,1,0.650451058866526,0.825225529433263
111-71-7,1,1,0.650629494309792,0.670806249967422
124-13-0,1,1,0.659145600054379,0.82957280002719
109-52-4,1,1,0.745408597287757,0.872704298643878
693-54-9,1,1,0.749906073199547,0.874953036599774
98-01-1,1,1,0.583462714149064,0.791731357074532
334-48-5,1,1,0.896117036459919,0.948058518229959
85-44-9,1,1,0.59558915667274,0.79779457833637
111-13-7,1,1,0.732582642548361,0.672578377912784
112-44-7,1,1,0.65324575281725,0.826622876408625
6175-49-1,1,1,0.685582944576607,0.842791472288304
112-54-9,1,1,0.6589391233003,0.674961064462676
544-63-8,1,1,0.85399558189246,0.92699779094623
10486-19-8,1,1,0.652844111180952,0.671913558403002
78-93-3,1,1,0.690990819687897,0.845495409843949
821-55-6,1,1,0.70142681851459,0.696204912069821
84-66-2,1,1,0.644864655008165,0.628719384142686
108-31-6,1,1,0.524782422993342,0.762391211496671
2463-77-6,1,1,0.628678487462163,0.814339243731082
103-23-1,1,1,0.686028983452025,0.688505994538539
629-59-4,1,1,0.934681687875381,0.812832346750217
638-65-3,1,1,0.624762678977693,0.812381339488847
112-91-4,1,1,0.612524626090057,0.806262313045028
4291-79-6,0,1,0.654373039189314,0.608940683042803
24851-98-7,1,1,0.542682367139279,0.77134118356964
822-06-0,1,1,0.522075273272739,0.606529139448896
1002-84-2,1,1,0.853977317586124,0.926988658793062
105-38-4,1,1,0.705052209551208,0.852526104775604
103-23-1,1,1,0.686028983452025,0.688505994538539
104-35-8,0,1,0.560431325084238,0.586502719180722
104-40-5,0,1,0.633945411093321,0.598726868994806
112-80-1,1,1,0.739952771304453,0.869976385652227
115-86-6,1,1,0.494496582427854,0.497248291213927
118-82-1,0,1,0.412238978025845,0.551610991825449
128-37-0,0,1,0.788768550942607,0.73987577828383
131-11-3,1,1,0.701615890383372,0.696299448004212
131-17-9,1,1,0.57953706651376,0.635260036069406
13674-87-8,0,1,0.232962596074226,0.422768354675716
140-66-9,0,1,0.608217026140132,0.804108513070066
143-07-7,1,1,0.835411283706927,0.917705641853464
1843-05-6,0,1,0.510530500472007,0.561552306874607
25973-55-1,0,1,0.434868983982654,0.562925994803853
3864-99-1,0,1,0.541202851782246,0.616092928703649
3896-11-5,0,1,0.467910066829684,0.733955033414842
50-21-5,1,1,0.579206037418676,0.789603018709338
57-10-3,1,1,0.88081242677586,0.94040621338793
6197-30-4,0,1,0.438710446285475,0.564846725955264
77-90-7,1,1,0.404886417211572,0.508730265244389
78-32-0,1,1,0.536278379097385,0.518139189548693
78-42-2,0,1,0.405992283470378,0.702996141735189
84-61-7,1,1,0.519007361488314,0.565790737382761
84-75-3,1,1,0.695754691163471,0.654164402220339
112-99-2,1,1,0.493876766518584,0.592429886071818
120-12-7,0,1,0.66758445986994,0.679283732747496
129-00-0,0,1,0.512219966408787,0.756109983204393
1593-77-7,0,1,0.418511358795158,0.554747182210105
191-24-2,0,0,0.450662078526395,0.725331039263197
192-97-2,0,1,0.564245275141802,0.782122637570901
193-39-5,0,0,0.463880117673508,0.731940058836754
205-99-2,0,1,0.520328249786568,0.60565562770581
206-44-0,0,1,0.519895894295807,0.60543944996043
208-96-8,1,1,0.710557585148671,0.619210815074546
2082-79-3,0,1,0.481801422772897,0.522654874834594
218-01-9,0,1,0.511486136157682,0.755743068078841
50-32-8,0,1,0.558357396401684,0.779178698200842
53-70-3,0,1,0.71855789730133,0.859278948650665
5518-18-3,1,1,0.506904254339113,0.55973918380816
5632-97-3,1,1,0.568805173497983,0.629894089561518
629-54-9,1,1,0.688360801788816,0.650467457533011
83-32-9,0,1,0.710557585148671,0.619210815074546
85-01-8,0,1,0.644820683706949,0.667901844666001
86-73-7,1,1,0.719402473490134,0.623633259245277
91-20-3,0,1,0.714561905482892,0.607280952741446
5632-97-3,1,1,0.568805173497983,0.629894089561518
63823-21-2,1,1,0.424397774320057,0.557690389972555
112-99-2,1,1,0.493876766518584,0.592429886071818
1593-77-7,0,1,0.418511358795158,0.554747182210105
2082-79-3,0,1,0.481801422772897,0.522654874834594
5518-18-3,1,1,0.506904254339113,0.55973918380816
629-54-9,1,1,0.688360801788816,0.650467457533011
112-99-2,1,1,0.493876766518584,0.592429886071818
1195-79-5,1,1,0.570586868330445,0.567047597613368
1593-77-7,0,1,0.418511358795158,0.554747182210105
2082-79-3,0,1,0.481801422772897,0.522654874834594
507-70-0,0,1,0.539406265991827,0.575990189634517
5518-18-3,1,1,0.506904254339113,0.55973918380816
629-54-9,1,1,0.688360801788816,0.650467457533011
76-22-2,1,1,0.541686448353228,0.55259738762476
79-92-5,0,1,0.680632819592512,0.604248432296467
84-66-2,1,1,0.644864655008165,0.628719384142686
100-42-5,0,1,0.725902982626576,0.669238547951891
100-52-7,1,1,0.668376520697407,0.640475316987307
104-76-7,1,1,0.617878790361038,0.654430897993045
106-42-3,1,1,0.794481612749094,0.742732309187074
108-88-3,1,1,0.72948490388773,0.671029508582468
108-93-0,1,1,0.612079374525592,0.612326743901399
111-13-7,1,1,0.732582642548361,0.672578377912784
111-27-3,1,1,0.82234982384722,0.91117491192361
111-87-5,1,1,0.887573732805457,0.943786866402729
112-99-2,1,1,0.493876766518584,0.592429886071818
123-63-7,0,1,0.459570981769883,0.536072547523545
141-32-2,1,1,0.678441725913888,0.839220862956944
141-78-6,1,1,0.637691517708006,0.818845758854003
1593-77-7,0,1,0.418511358795158,0.554747182210105
2082-79-3,0,1,0.481801422772897,0.522654874834594
475-20-7,0,1,0.494944150642796,0.592963578133924
5518-18-3,1,1,0.506904254339113,0.55973918380816
590-01-2,1,1,0.646391572771755,0.668687289198404
629-54-9,1,1,0.688360801788816,0.650467457533011
66-25-1,1,1,0.623725817692038,0.618149965484622
71-36-3,1,1,0.70239192045034,0.85119596022517
76-22-2,1,1,0.541686448353228,0.55259738762476
80-62-6,1,1,0.622707713642746,0.811353856821373
91-20-3,0,1,0.714561905482892,0.607280952741446
99-87-6,0,1,0.830168873112494,0.760575939368774
