Type of Polymer 	Utilisation (2-1-0.5-0.25-0) / Recuento	Plastchem ID	CAS Number	Additives	Molecular formula	Molecular weight (g/mol)	Toxicity score (<0,5)
PHA	0,25	9775	5518-18-3	Hexadecanamide, N,N'-1,2-ethanediylbis-	C34H68N2O2	536,9	0,5
PHA	0,25	9957	5632-97-3	Octacosanedioic acid	C28H54O4	454,7	2
PHA	0,25	11030	629-54-9	Hexadecanamide	C16H33NO	255,44	0,5
PHA	0,25	14375	83-32-9	Acenaphthene	C12H10	154,21	2
PHA	0,25	14567	85-01-8	Phenanthrene	C14H10	178,23	2
PHA	0,25	14729	86-73-7	Fluorene	C13H10	166,22	2
PHA	0,25	15339	91-20-3	Naphthalene	C10H8	128,17	2
PBS	0,25	9957	5632-97-3	Octacosanedioic acid	C28H54O4	454,7	0,5
PBS	0,25	11230	63823-21-2	4,7,10,13-Tetraoxapentacosane-1,2-diol	C21H44O6	392,6	0,5
PBAT	0,25	1264	112-99-2	Dioctadecylamine	C36H75N	522	2
PBAT	0,25	3639	1593-77-7	Dodemorph	C18H35NO	281,5	2
PBAT	0,25	4828	2082-79-3	Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate	C35H62O3	530,9	1
PBAT	0,25	9775	5518-18-3	Hexadecanamide, N,N'-1,2-ethanediylbis-	C34H68N2O2	536,9	0,5
PBAT	0,25	11030	629-54-9	Hexadecanamide	C16H33NO	255,44	0,5
Cellulose	0,25	1264	112-99-2	Dioctadecylamine	C36H75N	522	2
Cellulose	0,25	1551	1195-79-5	Fenchone	C10H16O	152,23	1
Cellulose	0,25	3639	1593-77-7	Dodemorph	C18H35NO	281,5	2
Cellulose	0,25	4828	2082-79-3	Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate	C35H62O3	530,9	1
Cellulose	0,25	9115	507-70-0	1,7,7-Trimethylbicyclo[2.2.1]heptan-2-ol	C10H18O	154,25	1
Cellulose	0,25	9775	5518-18-3	Hexadecanamide, N,N'-1,2-ethanediylbis-	C34H68N2O2	536,9	0,5
Cellulose	0,25	11030	629-54-9	Hexadecanamide	C16H33NO	255,44	0,5
Cellulose	0,25	13585	76-22-2	Camphor	C10H16O	152,23	2
Cellulose	0,25	14050	79-92-5	Camphene	C10H16	136,23	1
Cellulose	0,25	14458	84-66-2	Diethyl Phthalate	C12H14O4	222,24	2
Starch	0,25	11	100-42-5	Styrene	C8H8	104,15	2
Starch	0,25	19	100-52-7	Benzaldehyde	C7H6O	106,12	2
Starch	0,25	500	104-76-7	2-Ethylhexan-1-ol	C8H18O	130,23	1
Starch	0,25	652	106-42-3	P-Xylene	C8H10	106,16	2
Starch	2	888	108-88-3	Toluene	C7H8	92,14	2
Starch	0,25	891	108-93-0	Cyclohexanol	C6H12O	100,16	2
Starch	0,25	1082	111-13-7	2-Octanone	C8H16O	128,21	0,5
Starch	0,25	1089	111-27-3	1-Hexanol	C6H14O	102,17	0,5
Starch	0,25	1125	111-87-5	1-Octanol	C8H18O	130,23	0,5
Starch	0,25	1264	112-99-2	Dioctadecylamine	C36H75N	522	2
Starch	2	1925	123-63-7	Paraldehyde	C6H12O3	132,16	2
Starch	2	2977	141-32-2	Butyl Acrylate	C7H12O2	128,17	2
Starch	0,25	2985	141-78-6	Ethyl Acetate	C4H8O2	88,11	2
Starch	0,25	3639	1593-77-7	Dodemorph	C18H35NO	281,5	2
Starch	0,25	4828	2082-79-3	Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate	C35H62O3	530,9	1
Starch	0,25	8897	475-20-7	(+)-Longifolene	C15H24	204,35	2
Starch	0,25	9775	5518-18-3	Hexadecanamide, N,N'-1,2-ethanediylbis-	C34H68N2O2	536,9	0,5
Starch	0,25	10315	590-01-2	Butyl propionate	C7H14O2	130,18	1
Starch	0,25	11030	629-54-9	Hexadecanamide	C16H33NO	255,44	0,5
Starch	2	11630	66-25-1	Hexanal	C6H12O	100,16	0,5
Starch	2	12863	71-36-3	1-Butanol	C4H10O	74,12	2
Starch	0,25	13585	76-22-2	Camphor	C10H16O	152,23	2
Starch	0,25	14105	80-62-6	Methyl methacrylate	C5H8O2	100,12	2
Starch	2	15339	91-20-3	Naphthalene	C10H8	128,17	2
Starch	0,25	16056	99-87-6	p-CYMENE	C10H14	134,22	1
